time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-11-02T17:17:02.760Z,-61.5594,153.7334,10,5.2,mb,,140,16.254,0.61,us,usc000stig,2014-11-02T17:30:41.000Z,"Balleny Islands region",earthquake
2014-11-02T16:06:16.030Z,38.8186684,-122.8026657,2.7,1.29,md,28,36,0.007468,0.03,nc,nc72337046,2014-11-02T16:40:07.873Z,"6km W of Cobb, California",earthquake
2014-11-02T16:05:46.750Z,64.6304,-16.9862,10.69,5.3,mb,,62,8.751,1.19,us,usc000stie,2014-11-02T16:29:22.000Z,"95km WNW of Hofn, Iceland",earthquake
2014-11-02T15:51:14.000Z,63.1827,-150.3835,99.2,1.5,ml,,,,0.68,ak,ak11432881,2014-11-02T16:39:45.292Z,"75km WSW of Cantwell, Alaska",earthquake
2014-11-02T15:42:30.000Z,19.1845,-155.5505,0.7,2.1,Md,,100.8,0.08084838,0.27,hv,hv60797286,2014-11-02T15:45:43.695Z,"7km WSW of Pahala, Hawaii",earthquake
2014-11-02T15:37:46.000Z,61.596,-148.2877,15.9,1.3,ml,,,,1.05,ak,ak11432878,2014-11-02T16:39:44.585Z,"35km E of Lazy Mountain, Alaska",earthquake
2014-11-02T15:09:08.400Z,18.1578,-67.2471,21,1.7,Md,3,302.4,0.15451023,0.18,pr,pr14306005,2014-11-02T17:35:08.065Z,"11km NW of Puerto Real, Puerto Rico",earthquake
2014-11-02T15:02:50.010Z,37.4995003,-118.7988358,10.78,1.34,md,19,155,0.06251,0.02,nc,nc72337006,2014-11-02T16:22:05.965Z,"22km SE of Mammoth Lakes, California",earthquake
2014-11-02T14:37:34.000Z,19.0318,-155.4637,38.1,2.4,Md,,205.2,0.12576414,0.2,hv,hv60797271,2014-11-02T14:40:57.391Z,"19km S of Pahala, Hawaii",earthquake
2014-11-02T14:37:01.000Z,61.2974,-150.9005,46.9,2,ml,,,,0.5,ak,ak11432849,2014-11-02T15:24:37.408Z,"54km W of Anchorage, Alaska",earthquake
2014-11-02T14:20:57.000Z,58.0511,-152.2814,36.4,3.5,ml,,,,0.6,ak,ak11432843,2014-11-02T15:24:59.430Z,"30km NNE of Kodiak, Alaska",earthquake
2014-11-02T14:19:51.000Z,61.6266,-151.2794,64,1.9,ml,,,,0.44,ak,ak11432842,2014-11-02T15:24:37.989Z,"67km W of Willow, Alaska",earthquake
2014-11-02T14:04:25.840Z,-6.3295,130.2051,121.95,4.7,mb,,70,1.968,0.79,us,usc000sthz,2014-11-02T15:31:25.000Z,"217km NW of Saumlaki, Indonesia",earthquake
2014-11-02T13:51:29.000Z,65.2004,-149.0777,8.6,1.5,ml,,,,0.6,ak,ak11432837,2014-11-02T15:24:39.907Z,"63km NW of Ester, Alaska",earthquake
2014-11-02T13:37:37.950Z,34.2761667,-117.014,10.18,0.99,ml,20,53,0.02048,0.18,ci,ci37284616,2014-11-02T13:41:50.790Z,"10km WNW of Big Bear Lake, California",earthquake
2014-11-02T13:29:54.000Z,60.796,-151.6757,84.8,1.6,ml,,,,0.36,ak,ak11432835,2014-11-02T15:24:39.322Z,"24km WNW of Nikiski, Alaska",earthquake
